nathy3 (s)	matheus3 (s)	eduardo3 (s)
0	0	0
4,96	5,23	5,32
5,43	5,3	5,1
5,1	5,1	5,11
4,7	5,04	4,99
5,08	4,45	5,04
4,6	4,89	4,78
